pocket_index,pocket,edgepair,inter_vertices
0,"[0, 1, 32, 19, 20, 30, 14]","((1, 3), (2, 3))","[0, 1, 30, 32]"
1,"[0, 1, 32, 20, 30, 27, 14]","((1, 3), (2, 3))","[0, 1, 30, 32]"
2,"[0, 32, 2, 18, 20, 29, 15]","((2, 3), (3, 4))","[0, 2, 29, 32]"
3,"[0, 32, 2, 20, 27, 29, 15]","((2, 3), (3, 4))","[0, 2, 29, 32]"
4,"[0, 32, 16, 3, 17, 20, 28]","((0, 3), (2, 3))","[0, 3, 28, 32]"
5,"[0, 32, 16, 3, 20, 27, 28]","((0, 3), (2, 3))","[0, 3, 28, 32]"
6,"[0, 32, 19, 4, 20, 26, 11]","((1, 2), (2, 3))","[0, 4, 26, 32]"
7,"[0, 32, 4, 20, 26, 11, 31]","((1, 2), (2, 3))","[0, 4, 26, 32]"
8,"[0, 32, 18, 20, 5, 25, 12]","((2, 3), (2, 4))","[0, 5, 25, 32]"
9,"[0, 32, 20, 5, 25, 12, 31]","((2, 3), (2, 4))","[0, 5, 25, 32]"
10,"[0, 32, 17, 20, 6, 24, 13]","((0, 2), (2, 3))","[0, 6, 24, 32]"
11,"[0, 32, 20, 6, 24, 13, 31]","((0, 2), (2, 3))","[0, 6, 24, 32]"
12,"[0, 32, 35, 20, 23, 7, 10]","((1, 4), (2, 3))","[0, 7, 23, 32]"
13,"[0, 32, 17, 35, 20, 23, 7]","((1, 4), (2, 3))","[0, 7, 23, 32]"
14,"[0, 32, 34, 20, 22, 8, 10]","((0, 1), (2, 3))","[0, 8, 22, 32]"
15,"[0, 32, 34, 18, 20, 22, 8]","((0, 1), (2, 3))","[0, 8, 22, 32]"
16,"[0, 32, 33, 20, 21, 9, 10]","((0, 4), (2, 3))","[0, 9, 21, 32]"
17,"[0, 32, 33, 19, 20, 21, 9]","((0, 4), (2, 3))","[0, 9, 21, 32]"
18,"[16, 1, 2, 17, 20, 29, 30]","((1, 3), (3, 4))","[1, 2, 29, 30]"
19,"[1, 2, 17, 20, 27, 29, 30]","((1, 3), (3, 4))","[1, 2, 29, 30]"
20,"[1, 18, 3, 20, 28, 30, 15]","((0, 3), (1, 3))","[1, 3, 28, 30]"
21,"[1, 18, 3, 20, 27, 28, 30]","((0, 3), (1, 3))","[1, 3, 28, 30]"
22,"[1, 19, 4, 20, 26, 10, 30]","((1, 2), (1, 3))","[1, 4, 26, 30]"
23,"[1, 33, 26, 4, 20, 10, 30]","((1, 2), (1, 3))","[1, 4, 26, 30]"
24,"[1, 35, 20, 5, 25, 11, 30]","((1, 3), (2, 4))","[1, 5, 25, 30]"
25,"[1, 35, 20, 5, 25, 30, 15]","((1, 3), (2, 4))","[1, 5, 25, 30]"
26,"[1, 34, 20, 6, 24, 11, 30]","((0, 2), (1, 3))","[1, 6, 24, 30]"
27,"[16, 1, 34, 20, 6, 24, 30]","((0, 2), (1, 3))","[1, 6, 24, 30]"
28,"[16, 1, 20, 23, 7, 12, 30]","((1, 3), (1, 4))","[1, 7, 23, 30]"
29,"[1, 33, 20, 23, 7, 12, 30]","((1, 3), (1, 4))","[1, 7, 23, 30]"
30,"[1, 20, 22, 8, 13, 30, 15]","((0, 1), (1, 3))","[1, 8, 22, 30]"
31,"[1, 33, 20, 22, 8, 13, 30]","((0, 1), (1, 3))","[1, 8, 22, 30]"
32,"[1, 20, 21, 9, 11, 30, 31]","((0, 4), (1, 3))","[1, 9, 21, 30]"
33,"[1, 19, 20, 21, 9, 30, 31]","((0, 4), (1, 3))","[1, 9, 21, 30]"
34,"[2, 3, 19, 20, 28, 29, 14]","((0, 3), (3, 4))","[2, 3, 28, 29]"
35,"[2, 3, 19, 20, 27, 28, 29]","((0, 3), (3, 4))","[2, 3, 28, 29]"
36,"[2, 35, 4, 20, 26, 12, 29]","((1, 2), (3, 4))","[2, 4, 26, 29]"
37,"[2, 35, 4, 20, 26, 29, 14]","((1, 2), (3, 4))","[2, 4, 26, 29]"
38,"[2, 18, 20, 5, 25, 10, 29]","((2, 4), (3, 4))","[2, 5, 25, 29]"
39,"[2, 34, 20, 5, 25, 10, 29]","((2, 4), (3, 4))","[2, 5, 25, 29]"
40,"[33, 2, 20, 6, 24, 12, 29]","((0, 2), (3, 4))","[2, 6, 24, 29]"
41,"[16, 33, 2, 20, 6, 24, 29]","((0, 2), (3, 4))","[2, 6, 24, 29]"
42,"[16, 2, 20, 23, 7, 11, 29]","((1, 4), (3, 4))","[2, 7, 23, 29]"
43,"[2, 34, 20, 23, 7, 11, 29]","((1, 4), (3, 4))","[2, 7, 23, 29]"
44,"[2, 20, 22, 8, 12, 29, 31]","((0, 1), (3, 4))","[2, 8, 22, 29]"
45,"[2, 18, 20, 22, 8, 29, 31]","((0, 1), (3, 4))","[2, 8, 22, 29]"
46,"[2, 29, 20, 21, 9, 13, 14]","((0, 4), (3, 4))","[2, 9, 21, 29]"
47,"[2, 34, 20, 21, 29, 9, 13]","((0, 4), (3, 4))","[2, 9, 21, 29]"
48,"[34, 3, 4, 20, 26, 28, 13]","((0, 3), (1, 2))","[3, 4, 26, 28]"
49,"[34, 3, 4, 20, 26, 28, 14]","((0, 3), (1, 2))","[3, 4, 26, 28]"
50,"[33, 3, 20, 5, 25, 28, 13]","((0, 3), (2, 4))","[3, 5, 25, 28]"
51,"[33, 3, 20, 5, 25, 28, 15]","((0, 3), (2, 4))","[3, 5, 25, 28]"
52,"[17, 3, 20, 6, 24, 10, 28]","((0, 2), (0, 3))","[3, 6, 24, 28]"
53,"[35, 3, 20, 6, 24, 10, 28]","((0, 2), (0, 3))","[3, 6, 24, 28]"
54,"[3, 20, 23, 7, 28, 13, 31]","((0, 3), (1, 4))","[3, 7, 23, 28]"
55,"[17, 3, 20, 23, 7, 28, 31]","((0, 3), (1, 4))","[3, 7, 23, 28]"
56,"[3, 20, 22, 8, 11, 28, 15]","((0, 1), (0, 3))","[3, 8, 22, 28]"
57,"[35, 3, 20, 22, 8, 11, 28]","((0, 1), (0, 3))","[3, 8, 22, 28]"
58,"[3, 20, 21, 9, 12, 28, 14]","((0, 3), (0, 4))","[3, 9, 21, 28]"
59,"[3, 35, 20, 21, 9, 12, 28]","((0, 3), (0, 4))","[3, 9, 21, 28]"
60,"[17, 4, 5, 20, 25, 26, 13]","((1, 2), (2, 4))","[4, 5, 25, 26]"
61,"[17, 4, 5, 20, 25, 26, 31]","((1, 2), (2, 4))","[4, 5, 25, 26]"
62,"[18, 4, 20, 6, 24, 26, 12]","((0, 2), (1, 2))","[4, 6, 24, 26]"
63,"[18, 4, 20, 6, 24, 26, 31]","((0, 2), (1, 2))","[4, 6, 24, 26]"
64,"[4, 20, 23, 7, 26, 13, 15]","((1, 2), (1, 4))","[4, 7, 23, 26]"
65,"[33, 4, 20, 23, 7, 26, 15]","((1, 2), (1, 4))","[4, 7, 23, 26]"
66,"[16, 4, 20, 22, 8, 26, 12]","((0, 1), (1, 2))","[4, 8, 22, 26]"
67,"[16, 33, 4, 20, 22, 8, 26]","((0, 1), (1, 2))","[4, 8, 22, 26]"
68,"[4, 20, 21, 9, 26, 27, 14]","((0, 4), (1, 2))","[4, 9, 21, 26]"
69,"[19, 4, 20, 21, 9, 26, 27]","((0, 4), (1, 2))","[4, 9, 21, 26]"
70,"[19, 20, 5, 6, 24, 25, 11]","((0, 2), (2, 4))","[5, 6, 24, 25]"
71,"[19, 20, 5, 6, 24, 25, 31]","((0, 2), (2, 4))","[5, 6, 24, 25]"
72,"[20, 5, 23, 7, 25, 13, 14]","((1, 4), (2, 4))","[5, 7, 23, 25]"
73,"[34, 20, 5, 23, 7, 25, 14]","((1, 4), (2, 4))","[5, 7, 23, 25]"
74,"[20, 5, 22, 8, 25, 27, 15]","((0, 1), (2, 4))","[5, 8, 22, 25]"
75,"[18, 20, 5, 22, 8, 25, 27]","((0, 1), (2, 4))","[5, 8, 22, 25]"
76,"[16, 20, 5, 21, 9, 11, 25]","((0, 4), (2, 4))","[5, 9, 21, 25]"
77,"[16, 34, 20, 5, 21, 9, 25]","((0, 4), (2, 4))","[5, 9, 21, 25]"
78,"[16, 20, 23, 6, 7, 24, 27]","((0, 2), (1, 4))","[6, 7, 23, 24]"
79,"[17, 20, 23, 6, 7, 24, 27]","((0, 2), (1, 4))","[6, 7, 23, 24]"
80,"[20, 6, 22, 8, 24, 12, 14]","((0, 1), (0, 2))","[6, 8, 22, 24]"
81,"[35, 20, 6, 22, 8, 24, 14]","((0, 1), (0, 2))","[6, 8, 22, 24]"
82,"[20, 21, 6, 24, 9, 11, 15]","((0, 2), (0, 4))","[6, 9, 21, 24]"
83,"[35, 20, 21, 6, 24, 9, 15]","((0, 2), (0, 4))","[6, 9, 21, 24]"
84,"[19, 20, 23, 22, 7, 8, 10]","((0, 1), (1, 4))","[7, 8, 22, 23]"
85,"[33, 19, 20, 23, 22, 7, 8]","((0, 1), (1, 4))","[7, 8, 22, 23]"
86,"[18, 20, 21, 23, 7, 9, 10]","((0, 4), (1, 4))","[7, 9, 21, 23]"
87,"[34, 18, 20, 21, 23, 7, 9]","((0, 4), (1, 4))","[7, 9, 21, 23]"
88,"[17, 20, 21, 22, 8, 9, 10]","((0, 1), (0, 4))","[8, 9, 21, 22]"
89,"[17, 35, 20, 21, 22, 8, 9]","((0, 1), (0, 4))","[8, 9, 21, 22]"
